Role Category,Role Subcategory,Role Hierarchy,Role title,Variants,Role class on Compass,Hierarchy or Location,Line manager to help make the application,"Approval process 
(see 4.5)",Approver,Relevant Commissioner or body,Responsible for induction,"Getting Started requirement for full appointment 
(within 5 months)",Training Obligations,Minimum Membership,Ex Officio Charity Trustee role?sv,Criminal Records Disclosure Check Required?++,Appointment Review Required?
GOVERNANCE ROLES,,Scout County or equivalent,Regional (Scotland) Treasurer,None,Committee,Scotland,Elected by Members of the Regional (Scotland) Scout Council,2,Regional (Scotland) Scout Council at the AGM,Regional (Scotland) Scout Council,Regional (Scotland) Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout County or equivalent,County Executive Member (other than the Ex Officio roles),"Elected, 
Nominated, 
Co-opted",Committee,"England, Northern Ireland",Elected by Members of the County Scout Council,"2 (Elected, Nominated)

3 (Co-opted)",County Scout Council at the AGM,County Scout Council,County Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,No
GOVERNANCE ROLES,,Scout County or equivalent,Area Executive Member (other than the Ex Officio roles),"Elected, 
Nominated, 
Co-opted",Committee,"Wales, BSO",Elected by Members of the Area Scout Council,"2 (Elected, Nominated)

3 (Co-opted)",Area Scout Council at the AGM,Area Scout Council,Area Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,No
GOVERNANCE ROLES,,Scout County or equivalent,Elected Regional Executive Members excluding Treasurer and Secretary (Scotland),None,Committee,Scotland,Elected by Members of the Regional Scout Council,2,Regional Scout Council at the AGM,Regional Scout Council,Regional Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,See Scottish Variations from POR,Yes,No
GOVERNANCE ROLES,,Scout County or equivalent,County Sub-Committee members (who are not also members of the County Executive Committee),None,Committee,"England, Northern Ireland",County Chair,3,County Executive Committee,County Executive Committee,County Chair,No requirement,"Modules 1, GDPR, Safety and Safeguarding (Within 5 months)",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,Area Sub-Committee members (who are not also members of the County Executive Committee),None,Committee,"Wales, BSO",Area Chair,3,Area Executive Committee,Area Executive Committee,Area Chair,No requirement,"Modules 1, GDPR, Safety and Safeguarding (Within 5 months)",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,Region (Scotland) Sub-Committee members (who are not also members of the Region Executive Committee),None,Committee,Scotland,Region (Scotaland) Chair,3,Region (Scotalnd) Executive Committee,Region (Scotalnd) Executive Committee,Region (Scotaland) Chair,No requirement,"Modules 1, GDPR, Safety and Safeguarding (Within 5 months)",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,County Appointments Chair,None,Committee,"England, Northern Ireland",County Chair,3,County Executive Committee,County Executive Committee,County Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,County Appointments Secretary,None,Secretary,"England, Northern Ireland",County Appointments Chair,3,County Executive Committee,County Executive Committee,County Appointments Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,County Assistant Appointments Secretary,None,Secretary,"England, Northern Ireland",County Appointments Chair,3,County Executive Committee,County Executive Committee,County Appointments Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,County Appointment Advisory Committee members,None,Committee,"England, Northern Ireland",County Appointments Chair,3,County Executive Committee,County Executive Committee,County Appointments Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,Area Appointments Chair,None,Committee,"Wales, BSO",Area Chair,3,Area Executive Committee,Area Executive Committee,Area Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,Area Appointments Secretary,None,Secretary,"Wales, BSO",Area Appointments Chair,3,Area Executive Committee,Area Executive Committee,Area Appointments Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,Area Assistant Appointments Secretary,None,Secretary,"Wales, BSO",Area Appointments Chair,3,Area Executive Committee,Area Executive Committee,Area Appointments Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,Area Appointment Advisory Committee members,None,Committee,"Wales, BSO",Area Appointments Chair,3,Area Executive Committee,Area Executive Committee,Area Appointments Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,Regional Appointments Chair (Scotland),None,Committee,Scotland,Regional Chair,3,Regional Executive Committee,Regional Executive Committee,Regional Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,See Scottish Variations from POR,No,No
GOVERNANCE ROLES,,Scout County or equivalent,Regional Appointments  Secretary (Scotland),None,Secretary,Scotland,Regional Appointments Chair (Scotland),3,Regional Executive Committee,Regional Executive Committee,Regional Appointments Chair (Scotland),No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,See Scottish Variations from POR,No,No
GOVERNANCE ROLES,,Scout County or equivalent,Regional Appointments Advisory Committee Members (Scotland),None,Committee,Scotland,Regional Appointments Chair (Scotland),3,Regional Executive Committee,Regional Executive Committee,Regional Appointments Chair (Scotland),No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,See Scottish Variations from POR,No,No
GOVERNANCE ROLES,,Countries,Country Chair,None,Committee,"Wales, Scotland, Northern Ireland",Chief Commissioner for Wales or of Scotland or of Northern Ireland,2,Scouts Cymru Scout Council or Scouts Scotland Council or Northern Ireland Scout Council at the AGM,Scouts Cymru Scout Council or Scouts Scotland Council or Northern Ireland Scout Council as appropriate,Appointed Senior Staff Member,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Countries,Deputy Country Chair,None,Committee,"Wales, Scotland, Northern Ireland",Country Chair,3,"Scouts Cymru Board of Trustees, Northern Ireland Board of Trustees, Board Scotland","Scouts Cymru Board of Trustees, Northern Ireland Board of Trustees, Board Scotland",Country Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Countries,Country Treasurer,None,Committee,"Wales, Scotland, Northern Ireland",Country Chair,2,Scouts Cymru Scout Council or Scouts Scotland Council or Northern Ireland Scout Council at the AGM,"Scouts Cymru Board of Trustees, Northern Ireland Board of Trustees, Board Scotland",Country Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Countries,Country Executive Committee Member,"Elected, 
Appointed, 
Co-opted",Committee,"Wales, Scotland, Northern Ireland",Country Chair,"2 (Elected, Appointed)

3 (Co-opted)",Scouts Cymru Scout Council or Scouts Scotland Council or Northern Ireland Scout Council at the AGM,"Scouts Cymru Board of Trustees, Northern Ireland Board of Trustees, Board Scotland",Country Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Countries,Country Sub-Committee members (who are not also members of the Country Executive Committee),None,Committee,"Wales, Scotland, Northern Ireland",Country Chair,3,Scouts Cymru Scout Council or Scouts Scotland Council or Northern Ireland Scout Council at the AGM,"Scouts Cymru Board of Trustees, Northern Ireland Board of Trustees, Board Scotland",Country Chair,No requirement,"Modules 1, GDPR, Safety and Safeguarding (Within 5 months)",Associate Member,No (unless a member of an Executive or Trustee Board),No,No
GOVERNANCE ROLES,,Countries,Country Appointments Chair,None,Committee,"Wales, Scotland, Northern Ireland",Country Chair,3,"Scouts Cymru Board or Northern Ireland Board of Trustees, or Board Scotland","Scouts Cymru Board of Trustees, Northern Ireland Board of Trustees, Board Scotland",Country Chair,No requirement,"Modules 1, GDPR, Safety and Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Countries,Country Appointments Secretary,None,Secretary,"Wales, Scotland, Northern Ireland",This role is held by a staff member,,,,,,,,,,
GOVERNANCE ROLES,,Countries,Country Appointment Advisory Committee Member,None,Committee,"Scotland, Wales, BSO",Country Chair,3,"Scouts Cymru Board or Northern Ireland Board of Trustees, or Board Scotland","Scouts Cymru Board of Trustees, Northern Ireland Board of Trustees, Board Scotland",Country Appointments Chair,No requirement,"Modules 1, GDPR, Safety and Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Headquarters,Chair of the UK Board,None,Committee,Headquarters,The UK Board,4,TSA Scout Council at the AGM,TSA Scout Council,UK Chief Executive,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Headquarters,Vice Chair of the UK Board (this will be a current UK Trustee appointed by the Board to be Vice Chair),None,Committee,Headquarters,Chair of the UK Board,3,UK Board of Trustees,UK Board of Trustees,Chair of the UK Board,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Headquarters,TSA Secretary (this role is usually carried out by a paid staff member),None,Committee,Headquarters,Chief Financial Officer (staff),3,UK Board of Trustees,UK Board of Trustees,Director of Finance and Resources,No requirement,Mandatory staff training,None,No,No,No
GOVERNANCE ROLES,,Headquarters,TSA Treasurer,None,Committee,Headquarters,The UK Board,4,TSA Scout Council at the AGM,TSA Scout Council,Chair of the UK Board,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Headquarters,Elected Members (inc. 18-24) of UK Board,None,Committee,Headquarters,Elected by Members of the TSA Scout Council,4,TSA Scout Council at the AGM,TSA Scout Council,Chair of the UK Board,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Headquarters,Appointed Members of the UK Board,None,Committee,Headquarters,Chair of the UK Board,4,TSA Scout Council at the AGM,TSA Scout Council,Chair of the UK Board,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Headquarters,Co-opted Members of the UK Board,None,Committee,Headquarters,Chair of UK Board,3,UK Board of Trustees,UK Board of Trustees,Chair of the UK Board,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Headquarters,UK HQ Appointments Chair (this will always be a current UK Trustee),None,Committee,Headquarters,Chair of the UK Board,3,UK Board of Trustees,UK Board of Trustees,Chair of the UK Board,No requirement,No requirement as completed through Trustee role requirements. ,Member,No,No,No
GOVERNANCE ROLES,,Headquarters,UK HQ Appointments Secretary ,None,Secretary,Headquarters,This role is held by a staff member,,,,,,,,,,
GOVERNANCE ROLES,,Headquarters,UK HQ Appointment Advisory Committee Member,None,Committee,Headquarters,UKHQ Appointments Chair,3,Nominations and Governance Committee,Nominations and Governance Committee,UKHQ Appointments Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,No,No,No
GOVERNANCE ROLES,,Headquarters,Committee Chair (this will always be a current UK Trustee),None,Committee,Headquarters,Chair of UK Board,3,UK Board of Trustees,UK Board of Trustees,Chair of the UK Board,No requirement,No requirement as completed through Trustee role requirements. ,Member,No,No,No
GOVERNANCE ROLES,,Headquarters,Committee members (who are not also members of the UK Board of Trustees),None,Committee,Headquarters,UK Committee Chair,3,UK Board of Trustees,UK Board of Trustees,UK Committee Chair,No requirement,"Modules 1, GDPR, Safety and Safeguarding (Within 5 months)",Associate Member,No (unless a member of an Executive or Trustee Board),No,No
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Scout Group,Deputy Group Scout Leader,None,Commissioner,Group,Group Scout Leader,1,District Appointments Advisory Committee.,District Commissioner or nominee,Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,"Yes
(in Scotland, only if Group is OSCR registered)",Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Scout District,Deputy District Commissioner,None,Commissioner,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member, No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Scout District,Deputy District Commissioner (Scotland),None,Commissioner,District,Region (Scotland) Commissioner or nominee,1,District Appointments Advisory Committee,Region (Scotland) Commissioner or nominee,District Commissioner (Scotland) or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member, No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Scout County or equivalent,Deputy County Commissioner ,None,Commissioner,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Scout County or equivalent,Deputy Area Commissioner ,None,Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Scout County or equivalent,Deputy Regional Commissioner (Scotland),None,Commissioner,Scotland,Chief Commissioner of Scotland,1,Scottish Appointments Advisory Committee,Regional Commissioner (Scotland) in consultation with Chief Commissioner of Scotland,Regional Commissioner (Scotland) or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Country,Deputy Chief Commissioner (Country),None,Commissioner,"England, Northern Ireland",Chief Commissioner (Country),4,UK Headquarters Appointments Advisory Committee,Chief Commissioner (Country),Chief Commissioner (Country),"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Country,Deputy Chief Commissioner (Country),None,Commissioner,Wales,Chief Commissioner (Country),4,UK Headquarters Appointments Advisory Committee,Chief Commissioner (Country),Chief Commissioner (Country),"Modules 1, GDPR, Safety, Safeguarding, 2  and 4
(Trustee Introduction for 1 role holder)","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,"Yes 
(for 1 role holder)",Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Country,Deputy Chief Commissioner (Country),"Programme
People
Perception
Protect",Commissioner,Scotland,Chief Commissioner (Scotland),1,Scottish Headquarters Appointments Advisory Committee,Chief Commissioner (Country),Chief Commissioner (Country),"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Country,Commissioner Wales - Programme,None,Commissioner,Wales,Chief Commissioner Wales,1,UK Headquarters Appointments Advisory Committee,Chief Commissioner Wales,Chief Commissioner Wales,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Country,Deputy Commissioner Wales - Programme,"International
6-14
14-25
Events
Community Impact",Commissioner,Wales,Chief Commissioner Wales,1,UK Headquarters Appointments Advisory Committee,Chief Commissioner Wales,Chief Commissioner Wales,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Country,Commissioner Wales - Perception,None,Commissioner,Wales,Chief Commissioner Wales,1,UK Headquarters Appointments Advisory Committee,Chief Commissioner Wales,Chief Commissioner Wales,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Country,Commissioner Wales - Projects,None,Commissioner,Wales,Chief Commissioner Wales,1,UK Headquarters Appointments Advisory Committee,Chief Commissioner Wales,Chief Commissioner Wales,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Country,Commissioner Wales - Inclusion,None,Commissioner,Wales,Chief Commissioner Wales,1,UK Headquarters Appointments Advisory Committee,Chief Commissioner Wales,Chief Commissioner Wales,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Country,Commissioner Wales - People,None,Commissioner,Wales,Chief Commissioner Wales,1,UK Headquarters Appointments Advisory Committee,Chief Commissioner Wales,Chief Commissioner Wales,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Headquarters,Deputy UK Chief Commissioner,None,Commissioner,Headquarters,UK Chief Commissioner,4,UK Headquarters Appointments Advisory Committee,UK Chief Commissioner,UK Chief Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Headquarters,UK Commissioner,None,Commissioner,Headquarters,UK Chief Commissioner,4,UK Headquarters Appointments Advisory Committee,UK Chief Commissioner,UK Chief Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Headquarters,International Commissioner,None,Commissioner,Headquarters,UK Chief Commissioner,4,UK Headquarters Appointments Advisory Committee,UK Chief Commissioner,UK Chief Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Headquarters,Branches Commissioner,None,Commissioner,Branches,International Commissioner,4,UK Headquarters Appointments Advisory Committee,International Commissioner,International Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Headquarters,Deputy Branches Commissioner,None,Commissioner,Branches,International Commissioner,4,UK Headquarters Appointments Advisory Committee,International Commissioner,International Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Headquarters,Volunteer Head of ....,Various,Manager,Headquarters,UK Commissioner,4,UK Headquarters Appointments Advisory Committee,UK Commissioner,UK Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Headquarters,Programme Sponsor,POW title,Supporter,Headquarters,UK Chief Commissioner,4,Approved by Portfolio Management Group,UK Chief Commissioner,Senior Responsible Owner,n/a,"Modules 1, GDPR, Safety and Safeguarding",Associate Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Headquarters,Project Lead,POW title,Supporter,Headquarters,UK Chief Commissioner,4,Approved by Portfolio Management Group,UK Chief Commissioner,Senior Responsible Owner,n/a,"Modules 1, GDPR, Safety and Safeguarding",Associate Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Deputy Managers,Headquarters,POW Member (where the person is not already a Member or Associate Member of TSA),POW title,Supporter,Headquarters,UK Chief Commissioner,4,Programme Sponsor,Programme Sponsor,Programme Sponsor,n/a,"Modules 1, GDPR, Safety and Safeguarding",Associate Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout Group,Group Skills Instructor,None,Trainer,Group,Group Scout Leader,1,District Appointments Advisory Committee,District Commissioner or nominee,Group Scout Leader,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout District,District Skills Instructor,None,Trainer,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout District,District Nights Away Adviser,None,Assessor,"England, Northern Ireland, Wales, BSO","District Commissioner or nominee, in consultation with the County Manager of the Activity Permit Scheme.",1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding and 4 
(Within 5 months)

Module 24",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout District,District Nights Away Adviser,None,Assessor,Scotland,District Commissioner,3,District Executive Committee,District Executive Committee,District Commissioner,No Requirement,"Modules 1, GDPR, Safety, Safeguarding (within 5 months) 

Module 24",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Assistant County Commissioner - Activities,None,Commissioner,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Assistant Area Commissioner - Activities,None,Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Regional Adviser - Activities,None,Commissioner,Scotland,Regional Commissioner (Scotland) or nominee,3,Regional Executive Committee,Regional Executive Committee,Regional Commissioner or nominee,No Requirement,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,County Manager of the Activity Permit Scheme,None,Supporter,"England, Northern Ireland",County Commissioner,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding and 4 
(Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Area Manager of the Activity Permit Scheme,None,Supporter,"Wales, BSO",Area Commissioner,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding and 4 
(Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Region (Scotland) Manager of the Activity Permit Scheme,None,Supporter,Scotland,Regional Commissioner (Scotland),1,Region (Scotland) Appointments Advisory Committee,Region (Scotland) Commissioner or nominee,Region (Scotland) Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding and 4 (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,County Supporter of the Nights Away Permit Scheme,None,Supporter,County,Relevant Assistant County Commissioner,3,County Executive Committee,County Executive Committee,Relevant Assistant County Commissioner,No requirement,"Modules 1, GDPR, Safety, Safeguarding (within 5 months) 

Module 25 (Nights Away Advisers) ",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Area Supporter of the Nights Away Permit Scheme,None,Supporter,"Wales, BSO",Relevant Assistant Area Commissioner,3,Area Executive Committee,Area Executive Committee,Relevant Assistant Area Commissioner,No requirement,"Modules 1, GDPR, Safety, Safeguarding (within 5 months) 

Module 25 (Nights Away Advisers) ",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Regional (Scotland) Supporter of the Nights Away Permit Scheme,None,Supporter,Scotland,Regional Commissioner (Scotland),1,Region (Scotland) Appointments Advisory Committee,Region (Scotland) Commissioner or nominee,Region (Scotland) Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (within 5 months) Module 25 (Nights Away Advisers) ",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,County Assessor,Activity & Category,Assessor,"England, Northern Ireland",County Manager of the Activity Permit Scheme or relevant Assistant County Commissioner or County Adviser for Scout Show Assessors,1,County Appointments Advisory Committee,County Commissioner or nominee,County Manager of the Activity Permit Scheme or relevant Assistant County Commissioner or County Adviser for Scout Show Assessors,No requirement,"Module 1, GDPR, Safety & Safeguarding  (Within 5 months)

Module 25 (Activity Assessors or Scout Show Assessors) ",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Area Assessor,Activity & Category,Assessor,"Wales, BSO",Area Manager of the Activity Permit Scheme or relevant Assistant Area Commissioner or Area Adviser for Scout Show Assessors,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Manager of the Activity Permit Scheme or relevant Assistant Area Commissioner or Area Adviser for Scout Show Assessors,No requirement,"Module 1, GDPR, Safety & Safeguarding  (Within 5 months)

Module 25 (Activity Assessors or Scout Show Assessors) ",Associate Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Activities,Scout County or equivalent,Regional Assessor (Scotland),Activity & Category,Assessor,Scotland,Regional Manager of the Activity Permit Scheme,3,Regional Executive Committee,Regional Executive Committee,Regional Manager of the Activity Permit Scheme,No requirement,"Module 1, GDPR, Safety & Safeguarding  (Within 5 months)

Module 25",Associate Member,No,Yes,Yes
